Fon,French
Mi nɔ xwe do Mawu sɛ lɛ,Servez Dieu de toute votre âme.
zɔ̀n afɔ̀ yì tomὲ,voyager à pied
A na bló alɔkpa ɖokpó ɔ́,Tu feras de la même manière.
ɖo azɔxɔ mɛ ɔ mi nɔ mɔ akluzu tabilo tavo wɛmaɖiɖe bo aluma wema lɛ nuwlannu lɛ kpodo nuɖe vo lɛ kpo,en classe nous voyons un crucifix des tableaux des bancs des images une sonnette une armoire des livres des crayons et beaucoup d'autres objets
A ta zogbεn ɔ,Tu as allumé la lampe
"Azan ɖevo gbe ɔ, tɔ tɔn wa ylɔ ε bo ɖɔ n'i ɖɔ.","La semaine suivante, le père l'appela et lui dit : "
Mε tɔn wε nyi gan elɔ ?,A qui est cette montre ? 
e gbí mì,j'ai reçu une décharge de courant électrique
É ɖè wàn flíflí,Cela sent très bon.
Sɔ jεn mi wa,Nous sommes arrivés seulement hier
e v'axi din,c'est très cher
Xo tɔn mɛ nɔ fyɔ,II était tout bouleversé
É sɔ gbè,Le compte y est.
nɛ gbe ɔ mɛ ɖe gbɔn ɖo kutɔnu,quel temps fait
Xomε wli mε,Mal au ventre
Yĕ yì afatɔ́n afatɔ́n donu nuɔ́tɔ̀n,Ils sont six cents mille.
adɔsúsɔ́ sɔ́ mì,j'ai le hoquet
É jɛ̀ age ɖe ɔ jí,Il est allé sur l’autre rive.
wɔxúxú ɔ́ vó bó ɖo kpɔɖɔɔ̀,le pain est gâté et est mou
agbadé híhán,manque de maïs
E ɖo didɔn wε kpodo hlɔnhlɔn tɔn bi kpo.,Il tire de toutes ses forces
E hɛn alin ɔ gɔn,Il a tordu la houe
amasin élɔ́ nɔ́ fyɔ́ ɖ'akpa mɛ̀,ce médicament brûle dans la plaie
É ɖò gaàn,C’est clair.
vùn célu dó wŭ,parfume
Wà mí yì,Allons-y.
é hɔ́n sín mɛ cáɖáwùn,il s'est sauvé d'ici brusquement
un kplɔn nuɖe lɛ ɖo wema ɖokpo mɛ,j'ai appris quelques mots avec un livre
sɔ́ kplá nŭ kɔ̀,accrocher quelque chose
Mama wε e na vivi na.,C’est maman qui sera contente 
blɔmεvò - ɖŏ - wà,faire
akpasá - kpasá - kpasátín,baobab
"Nu mi byɔ azɔxɔ mε ɔ, mi nɔ ɖe gbakun mitɔn lε","Quand nous entrons en classe, nous ôtons notre chapeau ."
"Awii ɔ nɔ cɔ ajaka lε, e nɔ wli ye bo nɔ ɖu.","Le chat guette les souris, il les attrape et les mange"
yi kpowùn ma ɖi xɛsi ó,vas-y sans crainte
Kpɔ ɔ vun n'i bo ɖu n'i,Le léopard la déchira et la mangea.
wèmá élɔ́ kpɛ́cɛ́ dín,ce papier est trop mince
nu tɛ wutu e ma si nyi xogbonu alo agbomɛ a,pourquoi pas porto
"Nya hɔn yì bó slɔ́ ɖò alùúnmɛ̀, Migán ɖɔ̀ a nyɔ́ wá dóó","Un homme qui s’était enfui (du combat) revint à la saison sèche, le Migan lui dit ""Tu as su arriver à point nommé ""(juste à temps pour partir à la guerre)."
Nɔ ce nɔ gbɔ azɔn nu vi lɛ,Ma mère soigne les enfants.
Mi wa azɔ ɔ a,Vous n'avez pas traité le sujet.
"O, ɖibla yi kilo kanɖe gban nukun atɔn.","Oh, environ soixante quinze kg"
kɔ́n távò,débarrasser la table
Dawe gɛgɛ ɖe wa ba we kpo,Un homme élancé est venu te voir et ne t'a pas trouvé
Oh !,Kóoyì !
e hàn'ɖǔ mì hawùn,il m'a mordu brusquement
un go sin agbomɛ,je suis originaire d'abomey
yágáyì,marque une vive douleur
e pie e su kpɔ,eh pierre c'est trop
Atin lε ɖo ama yetɔn ba kpo wε,Les arbres se dépouillent de leurs feuilles.
a nɔ wà nǔ ajɔ̌n ɖɔhùn,tu agis comme un mouton bêtement
eyɛ ɖe mɛ ă,mais pas elle
na ɖo yiyi wε,sera en train de partir
aliswέέn - mɔ̆,sentier
enyi é w'azɔ ɔ e na mɔ kwɛ,si elles travaillent elles auront de l'argent
Mì fó xwè,Nous avons fini l’année.
Vi ɖe nyi jiji ɖo gleta,Un fils est né au village.
É lí dŏ,Il est bien bâti.
E gbɔ́n sìn,Il a aspiré de l’eau.
un na ɖa nu egbe a,je ne fais pas la cuisine aujourd'hui
"E na ɔ mlanyi, e na do gbavinukpεnnɔ kpɔn wε ă","Ils devraient être au lit, pas en train de regarder la télévision"
un ɖò fɔngbe kplɔ́n wɛ̀,j'apprends le fon
yi co bɔ mi wa,est parti avant que nous n'arrivions
kò - nu - nuvínu - ta - tó - vivɔnu - vuvɔnu,bout
Zɛn ɖe azɔmɛ vi lɛ ɖe ɔ ɖo vɔ,Le vase dessiné par les élèves est vide.
xwè kùn dŏ mɛ,marquer le dédain envers quelqu'un en faisant kùn
Jonɔ ɖo fi,L'étranger est ici
Vi lε ɖo awajijε mε.,Les enfants sont heureux 
Vi ɔ dlεn alɔ nu nɔ tɔn.,Bébé tend les bras à sa mère
Nu fɛɖɛfɛɖɛ ɖe lɛ,Des objets fragiles.
sin tɛ́ ká ná,c'est de quelle couleur
"Alo a na wli alɔ, alo a na nɔ hwε dokponɔ.","Soit tu te maries, soit tu restes célibataire ! : "
Vi lε na ma yovo dokɔ ɖaxo ɖokpo.,Les enfants se partageront un gros gâteau
xɛ ɔ́ ɖò àgà dɔ̀n vwéé,l'oiseau est très haut dans le ciel
Mi ze wema lɛ ɖo mi hwenuɖe mi na vo ɔ,Apportez-moi les lettres quand vous aurez du temps.
